Date_Forecast,Forecast_T_ANN_ARCH,Forecast_GARCH,Forecast_GJR_GARCH,Forecast_TARCH,Forecast_EGARCH,Forecast_AVGARCH,Forecast_FIGARCH,ReturnForecast,TrueSD,VaR_T_ANN_ARCH,VaR_GARCH,VaR_GJR_GARCH,VaR_TARCH,VaR_EGARCH,VaR_AVGARCH,VaR_FIGARCH
2007-12-14,0.023413647,0.03973512136313433,0.04134848973317304,0.023910237177642023,0.03995179298765021,0.029422981926237508,0.04687001747633889,-0.0247001453691702,0.0219726966595263,0.07475143000408616,0.054991433772248736,0.05673842096500134,0.04092299037645685,0.05474445174395979,0.046032116553269026,0.06037616333711665
2007-12-21,0.025651895,0.039047628262717515,0.05258844156501854,0.04516785065367498,5.059212675017024e-229,0.04516766705173669,0.043810651658365944,0.011184207041041283,0.028907451336611555,0.08198689329141154,0.053186879474251894,0.06430056535564838,0.05615956733623697,-0.0008351584943744855,0.05616518080809763,0.05816185231130142
2007-12-28,0.032614272,0.03995780561829916,0.05112928107371622,0.04684787489963929,157.18368665165588,0.046844902587242006,0.046347628338892305,-0.004029753374390488,0.027080344439049546,0.1046332430419921,0.054950639746652374,0.0638733662778256,0.058450481682971865,3.2696439706136915,0.058448241810910365,0.06052555281074465
2008-01-04,0.03373925,0.03892075778975325,0.04820354062908705,0.04591454130250966,0.02427332259843947,0.029035773524130955,0.04085825736055865,-0.046276221539026,0.0415463777280977,0.10793291638236349,0.05427815946118605,0.06198698774285244,0.05794901952677864,0.03859293510358394,0.0463003147418434,0.05668888624949653
2008-01-11,0.026435828,0.04366499472677957,0.06867909671489665,0.050690079946948643,8.423576254825482,0.050569754357116276,0.03897741631822794,-0.007544511820393396,0.04170849410908815,0.08432875381235702,0.058238211216241495,0.07487444179669767,0.060726377145578596,0.7821989737954844,0.06048571102619334,0.05546123933966462
2008-01-18,0.023800878,0.044400343306603446,0.06448823901263777,0.05291087223445292,2.8103866231229118e-101,0.052917664480867294,0.06267615915249694,-0.05564475554221282,0.04332269348305358,0.07638360860460774,0.058598447193688195,0.07150600136217915,0.06174165029843267,-0.0024871424323903227,0.061754024391108046,0.07097569047656191
2008-01-25,0.03034186,0.05114067916162207,0.10040108930349623,0.11790050442104291,0.0,0.05886832537562632,0.061008174131014205,0.004081671526193098,0.033929346685727786,0.09742852369833378,0.06488690087705402,0.0901259879524556,0.09553288604203408,-0.0018912721808333002,0.06577943496826172,0.06965059024058183
2008-02-01,0.0382109,0.05062366718525788,0.09217646172736822,0.0893386069615112,5.600737894278918e-12,0.05732519666360216,0.09471732321950674,0.047558004025437306,0.035198552028110536,0.12370996615083578,0.06521039681596308,0.08670832509595901,0.0826736330021157,-0.0033026580142303252,0.06547423585994294,0.0880430665245063
2008-02-08,0.019976735,0.07294395860661024,0.09450140000050979,0.0960177962733923,4.7196460202393157e-296,0.06471165046335589,0.08687523105158641,-0.04704705040622059,0.024223524143551008,0.0642299254162048,0.07701584437314309,0.08784649307824409,0.08636769576103202,-0.002158348582438986,0.06997880973182968,0.08362658429742753
2008-02-15,0.02253201,0.10013570954960672,0.122880604741575,0.1324458326451103,0.10194041483052173,0.06832723488583019,0.0995251407468241,0.013948751467250275,0.016480950914080375,0.07222212875575064,0.09001145386447104,0.09986855646975332,0.10076238031507917,0.09107453202382765,0.07113232513636222,0.08860455576682685
2008-02-22,0.0760401,0.0853938105700756,0.1105237298229459,0.10270631407323272,4.195679471446893e-75,0.07104801682172177,0.11839110223069231,0.0023084580895256224,0.022702284148809298,0.24694432089602533,0.08335501749884619,0.09421217694686353,0.08804877004075302,-0.0033031791336645285,0.07326650629484986,0.09800197799140685
2008-02-29,0.029408524,0.07921350054717842,0.10384108803592998,0.09602825436891042,2.2740636340027544e-08,0.0695332306567673,0.1043740442661678,-0.01675311791038414,0.0226849747389139,0.09468109480741897,0.08039507788356806,0.09148736164580569,0.08507503738658995,-0.002140440733316937,0.072456751773445,0.092312780528153
2008-03-07,0.031195661,0.06209534039182632,0.09629863006054214,0.08848556097417816,1.1407818092193947e-125,0.07228214802559033,0.08528227472702414,-0.02840130665538343,0.029388526730465242,0.10051125911728778,0.07245599132341485,0.08804844876115742,0.08103988128961741,-0.002179806944510073,0.07274594403081579,0.08302402662391607
2008-03-14,0.040693372,0.07459372975898754,0.101076796633392,0.09850253538145078,1.6317399687547162e-180,0.07134511700944479,0.07465715632719121,-0.004051882506238336,0.029213316847727388,0.131999768030523,0.0764570658072245,0.08965067681181532,0.08520509083107203,-0.0025144745038581206,0.07135038549328908,0.07682524622209563
2008-03-21,0.02255916,0.0630493029056626,0.09744550654001578,0.09204949863941651,3.873682496034813e-41,0.07133244306180075,0.07345015366961224,0.031611131843436446,0.03238909208207148,0.07331208244237014,0.07309948310609134,0.08893453197340313,0.0829203599274644,-0.0022498768929133336,0.07270013689636379,0.076852863316715
2008-03-28,0.02896798,0.0710494245458901,0.08984808789061047,0.07631578642831005,0.03962059316464019,0.07630250779684697,0.0651203977527382,-0.01080653090106054,0.03118183071401259,0.09410593217283769,0.07461193459646234,0.08460197974385882,0.07367091734195301,0.06420244869889698,0.073643861143331,0.07155677490735254
2008-04-04,0.027395807,0.065553555634504,0.08831631412149486,0.07813997909634227,8.729311205330328e-92,0.0754817605627581,0.06535766362703903,0.04109875610151281,0.028976103163091814,0.08894028726161256,0.07326723152106478,0.08444617087569832,0.07515557072892388,-0.002381180302056558,0.07396526498040666,0.07194416793745446
2008-04-11,0.021389414,0.07269256613148478,0.0870088037966774,0.08051056534990444,1.2273871186471766e-258,0.08047699063246556,0.060646768801201414,-0.027798217633767663,0.027463500039218363,0.06944926212320032,0.0749604697102772,0.08296222647500777,0.0753500501955981,-0.0022124269459781534,0.07532943594565342,0.06861934630326845
2008-04-18,0.02725719,0.0765108218770005,0.09258888520709158,0.09147522790599352,7.677430573151565e-223,0.0822807016175954,0.07158668335696336,0.04223662922011506,0.02275648248698098,0.08820434929832098,0.07688619998191772,0.0858452309896679,0.08135841216965929,-0.0018335055215946139,0.07655859376198242,0.07441980317765483
